,issue_date,issue_time,marked_time,plate_expiry_date,vin,agency,fine_amount,loc_lat,loc_long
count,3498979,3497042.0,3498979.0,3498979.0,0.0,3498979.0,3498979.0,3498979.0,3498979.0
mean,2023-12-20 09:04:53.571011328,12.108208894831685,20.309991000231783,170812.5449121015,,51.50216534594806,75.61378962262991,34.04491881441809,-118.26550926544861
min,2023-01-01 00:00:00,1.0,0.0,0.0,,0.0,0.0,-49.3068942,-172.104629
25%,2023-06-27 00:00:00,9.183333333333334,0.0,202301.0,,53.0,63.0,34.030172545,-118.40963045000001
50%,2023-12-23 00:00:00,11.466666666666667,0.0,202312.0,,54.0,73.0,34.0556878,-118.3146389
75%,2024-06-12 00:00:00,14.083333333333334,0.0,202408.0,,55.0,73.0,34.098522585,-118.2691762
max,2024-11-30 00:00:00,23.983333333333334,2358.0,209912.0,,98.0,1100.0,55.9995622,174.7692743
std,,4.141349015217753,149.5846592883895,73412.48129054008,,11.306621454529886,47.18062785749933,0.8232282867031313,2.916950880972827
median,,11.466666666666667,0.0,202312.0,,54.0,73.0,34.0556878,-118.3146389
mode,,8.5,0.0,0.0,,56.0,73.0,34.0549076,-118.242643
average_issue_time,12:06,12:06,12:06,12:06,12:06,12:06,12:06,12:06,12:06
