,issue_date,issue_time,marked_time,plate_expiry_date,vin,agency,fine_amount,loc_lat,loc_long
count,557214,556872.0,557214.0,557214.0,0.0,557214.0,557214.0,557214.0,557214.0
mean,2023-12-19 11:23:32.143987968,12.455156690705705,13.235209452741676,165222.91946182257,,53.003025767478924,76.11330296797999,34.05559031857763,-118.25987918306316
min,2023-01-01 00:00:00,1.0,0.0,0.0,,1.0,0.0,34.04,-118.2899997
25%,2023-06-21 00:00:00,9.65,0.0,202212.0,,55.0,63.0,34.046245225,-118.272569775
50%,2023-12-26 00:00:00,11.9,0.0,202312.0,,56.0,73.0,34.0522383,-118.2580972
75%,2024-06-18 00:00:00,14.716666666666667,0.0,202408.0,,56.0,93.0,34.062485120000005,-118.249291705
max,2024-11-30 00:00:00,23.983333333333334,2355.0,209912.0,,98.0,1100.0,34.09,-118.22000039
std,,4.066995934406335,122.30346171140002,78339.9779674676,,12.013226496539954,37.06128833680974,0.0120269861165214,0.015597345813569427
median,,11.9,0.0,202312.0,,56.0,73.0,34.0522383,-118.2580972
mode,,12.083333333333334,0.0,0.0,,56.0,93.0,34.0549076,-118.242643
average_issue_time,12:06,12:06,12:06,12:06,12:06,12:06,12:06,12:06,12:06
